,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,18.83,66,95,8.71,PN,1721591585
1,yaren,-0.5472,166.916,29.12,75,7,7.89,NR,1721591585
2,port-aux-francais,-49.35,70.2167,3.99,97,100,10.47,TF,1721591585
3,waitangi,-43.9535,-176.5597,9.9,99,100,4.47,NZ,1721591585
4,port augusta,-32.5,137.7667,8.31,50,0,3.6,AU,1721591585
5,saipan,15.1355,145.701,28.39,89,40,2.06,MP,1721591301
6,puerto ayora,-0.7393,-90.3518,25.98,92,54,4.02,EC,1721591586
7,fort bragg,35.139,-79.006,32.47,63,40,3.09,US,1721591586
8,yellowknife,62.456,-114.3525,26.34,40,75,3.09,CA,1721591586
9,belyayevka,51.3974,56.4096,21.29,78,100,4.65,RU,1721591586
10,geraldton,-28.7667,114.6,8.23,81,0,6.69,AU,1721591587
11,invercargill,-46.4,168.35,7.23,86,100,2.68,NZ,1721591441
12,quellon,-43.1167,-73.6167,10.8,77,10,0.87,CL,1721591587
13,uturoa,-16.7333,-151.4333,24.63,59,99,9.75,PF,1721591587
14,albany,42.6001,-73.9662,29.57,54,94,0.89,US,1721591543
15,puerto natales,-51.7236,-72.4875,10.25,81,100,15.95,CL,1721591588
16,edinburgh of the seven seas,-37.0676,-12.3116,10.24,61,97,13.54,SH,1721591588
17,tazovsky,67.4667,78.7,5.57,73,11,3.39,RU,1721591588
18,blackmans bay,-43.0167,147.3167,10.41,87,100,0.45,AU,1721591588
19,borogontsy,62.6683,131.1683,15.11,86,3,1.76,RU,1721591588
20,vilyuchinsk,52.9306,158.4028,10.15,79,96,0.53,RU,1721591589
21,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,100,1.0,RU,1721591589
22,pechora,65.1472,57.2244,11.67,62,100,2.56,RU,1721591589
23,cidade velha,14.9167,-23.6167,27.26,74,40,2.57,CV,1721591590
24,hasaki,35.7333,140.8333,25.22,95,78,4.5,JP,1721591590
25,sinabang,2.4803,96.3801,27.14,81,100,2.12,ID,1721591590
26,soledad de doblado,19.05,-96.4167,29.47,88,99,0.39,MX,1721591590
27,veracruz,19.3333,-96.6667,25.65,82,94,0.77,MX,1721591590
28,kiunga,-6.1219,141.2906,21.99,99,100,0.76,PG,1721591591
29,west island,-12.1568,96.8225,25.99,89,75,7.2,CC,1721591591
